pulled_at,theme,proxy_ticker,proxy_name,style,risk_level,max_theme_weight,score,direction_action,etf_action,price,day_change_pct,return_5d,return_20d,return_60d,volume_ratio,sma_20_gap_pct,drawdown_60d_pct,volatility_20d,market_updated_at
2026-08-10 05:49:43,芯片,159995,芯片ETF华夏,tech,high,0.1200,30,暂缓,等回调,1.1830,-2.3927,8.4079,-21.0423,-47.7811,0.9618,-1.9536,-64.2478,4.9666,2026-08-07
2026-08-11 05:49:34,黄金,518880,黄金ETF华安,macro,medium,0.1200,70,重点跟踪,持有观察,9.0400,0.3887,6.9859,6.9604,-5.7463,1.6329,5.9717,-5.3600,1.1174,2026-08-10
2026-08-11 05:49:34,有色金属,512400,有色金属ETF南方,resource,medium,0.1200,68,暂缓,减仓降温,1.9460,-3.5679,13.4983,20.1906,-1.0299,1.2482,12.8541,-6.3573,3.0369,2026-08-10
2026-08-11 05:49:34,煤炭,515220,煤炭ETF国泰,resource,medium,0.1200,65,观察,暂不配置,1.2630,0.0792,7.3129,12.6786,2.5183,1.0066,5.5140,-11.7483,2.6945,2026-08-10
2026-08-11 05:49:34,酒,512690,酒ETF鹏华,consumer,medium,0.1000,62,观察,暂不配置,0.4410,-0.8989,-0.6696,13.2316,-2.1978,0.9297,3.4403,-2.6258,2.0598,2026-08-10
2026-08-11 05:49:34,消费,159928,消费ETF汇添富,consumer,medium,0.1200,61,观察,持有观察,0.6830,-1.0145,0.0000,9.3502,-2.5424,1.0721,2.7168,-1.4286,1.7131,2026-08-10
2026-08-11 05:49:34,创新药,159992,创新药ETF银华,healthcare,high,0.1000,60,暂缓,等回调,0.9360,1.8498,10.8565,8.3726,15.1629,1.0206,5.9794,0.0000,3.0700,2026-08-10
2026-08-11 05:49:34,红利低波,512890,红利低波ETF华泰柏瑞,dividend,low,0.2000,59,观察,持有观察,1.1650,0.2582,-3.4081,3.1972,-0.4284,1.1156,-0.6158,-3.7283,1.0594,2026-08-10
2026-08-11 05:49:34,银行,512800,银行ETF华宝,dividend,low,0.1800,59,观察,持有观察,0.8000,-0.3736,-3.3694,3.0809,3.0809,1.0386,-0.3289,-4.4048,1.2950,2026-08-10
2026-08-11 05:49:34,医疗器械,159883,医疗器械ETF永赢,healthcare,medium,0.1000,59,观察,持有观察,0.4500,0.4464,2.2831,7.6923,-5.4852,0.8552,3.2972,-5.4852,1.5862,2026-08-10
2026-08-11 05:49:34,游戏,516010,游戏ETF国泰,media,high,0.0800,59,观察,暂不配置,1.1310,-1.2227,2.4150,7.1094,-9.7003,1.0252,6.0676,-9.5577,2.8760,2026-08-10
2026-08-11 05:49:34,新能源车,515030,新能源车ETF华夏,growth,high,0.1000,56,轻跟踪,暂不配置,1.6760,-0.2381,4.0892,5.0000,-17.4041,1.0360,4.6110,-18.3277,2.0580,2026-08-10
2026-08-11 05:49:34,恒生科技,159740,恒生科技ETF大成,hk_tech,high,0.1000,52,轻跟踪,暂不配置,0.6040,-0.8210,0.6612,4.4597,-1.9324,0.7385,2.1298,-5.2877,1.8775,2026-08-10
2026-08-11 05:49:34,军工,512710,军工龙头ETF富国,advanced_manufacturing,high,0.1000,51,轻跟踪,暂不配置,0.6280,-1.8750,4.4046,0.1565,-15.1194,0.9093,5.2718,-15.1194,1.6740,2026-08-10
2026-08-11 05:49:34,光伏,515790,光伏ETF华泰柏瑞,growth,high,0.1000,50,轻跟踪,暂不配置,0.8700,0.9281,3.6058,1.5312,-22.2022,0.8834,3.9932,-23.5816,2.0503,2026-08-10
2026-08-11 05:49:34,机器人,562500,机器人ETF华夏,advanced_manufacturing,high,0.1000,48,暂缓,暂不配置,1.0260,1.4837,4.7668,-2.9750,-13.1443,0.9695,3.6392,-16.8586,2.8022,2026-08-10
2026-08-11 05:49:34,计算机,159998,计算机ETF天弘,tech,high,0.1000,47,暂缓,暂不配置,1.0170,0.1970,5.7292,-1.2646,-8.2278,0.7458,3.2553,-9.7778,3.0682,2026-08-10
2026-08-11 05:49:34,创业板50,159949,创业板50ETF华安,broad_growth,high,0.1500,42,暂缓,暂不配置,1.6800,1.2658,5.6688,-6.4298,-12.3150,0.7863,-0.9582,-21.5603,3.8085,2026-08-10
2026-08-11 05:49:34,人工智能,159819,人工智能ETF易方达,tech,high,0.1200,41,暂缓,暂不配置,1.8310,0.9372,5.4038,-11.5553,-6.6392,0.8958,-3.0569,-18.7276,4.0379,2026-08-10
2026-08-11 05:49:34,通信,515880,通信ETF国泰,tech,medium,0.1200,36,暂缓,暂不配置,0.6500,0.9300,2.0408,-16.6667,-14.3610,0.9204,0.3319,-30.9979,5.0802,2026-08-11 05:48
2026-08-11 05:49:34,半导体,512480,半导体ETF国联安,tech,high,0.1200,31,暂缓,减仓降温,1.0830,0.1850,17.3724,-16.3313,-46.8796,0.9964,0.0926,-64.0266,4.9656,2026-08-10
2026-08-11 05:49:34,芯片,159995,芯片ETF华夏,tech,high,0.1200,30,暂缓,减仓降温,1.2040,-0.0830,15.9769,-17.3525,-47.9482,0.9182,-1.5121,-64.4543,4.8829,2026-08-10
